machine_id,date,maintenance_note
M2,2025-02-24,Machine M2: overheating detected. replaced filter. Operator: John.
M3,2025-03-09,Machine M3: oil leak detected. reset controller. Operator: Tom.
M4,2025-02-06,Machine M4: error code 42 detected. tightened bolts. Operator: Tom.
M3,2025-03-04,Machine M3: unusual vibration detected. replaced filter. Operator: Tom.
M1,2025-03-30,Machine M1: error code 42 detected. replaced filter. Operator: John.
M3,2025-01-19,Machine M3: error code 42 detected. replaced filter. Operator: Mary.
M2,2025-01-20,Machine M2: noise detected. reset controller. Operator: Mary.
M4,2025-02-24,Machine M4: noise detected. tightened bolts. Operator: Mary.
M4,2025-03-15,Machine M4: noise detected. tightened bolts. Operator: Mary.
M2,2025-03-06,Machine M2: unusual vibration detected. reset controller. Operator: John.
M3,2025-03-30,Machine M3: oil leak detected. reset controller. Operator: Mary.
M2,2025-03-10,Machine M2: error code 42 detected. cleaned sensor. Operator: Tom.
M1,2025-01-23,Machine M1: error code 42 detected. tightened bolts. Operator: Tom.
M1,2025-03-04,Machine M1: overheating detected. tightened bolts. Operator: Tom.
M2,2025-01-09,Machine M2: oil leak detected. tightened bolts. Operator: Tom.
M4,2025-01-10,Machine M4: noise detected. replaced filter. Operator: Mary.
M2,2025-03-18,Machine M2: noise detected. tightened bolts. Operator: John.
M4,2025-03-16,Machine M4: error code 42 detected. reset controller. Operator: Mary.
M4,2025-01-03,Machine M4: overheating detected. tightened bolts. Operator: Tom.
M4,2025-02-12,Machine M4: error code 42 detected. replaced filter. Operator: John.
M4,2025-02-12,Machine M4: error code 42 detected. replaced filter. Operator: John.
M4,2025-01-13,Machine M4: overheating detected. reset controller. Operator: Mary.
M3,2025-02-04,Machine M3: error code 42 detected. tightened bolts. Operator: Tom.
M4,2025-03-12,Machine M4: error code 42 detected. tightened bolts. Operator: Tom.
M4,2025-01-11,Machine M4: overheating detected. cleaned sensor. Operator: Mary.
M1,2025-01-17,Machine M1: unusual vibration detected. cleaned sensor. Operator: Tom.
M3,2025-01-11,Machine M3: oil leak detected. reset controller. Operator: John.
M3,2025-03-18,Machine M3: unusual vibration detected. tightened bolts. Operator: Mary.
M3,2025-02-18,Machine M3: noise detected. tightened bolts. Operator: Mary.
M4,2025-01-14,Machine M4: noise detected. reset controller. Operator: John.
M4,2025-02-25,Machine M4: overheating detected. tightened bolts. Operator: John.
M1,2025-03-08,Machine M1: noise detected. replaced filter. Operator: Mary.
M1,2025-01-28,Machine M1: unusual vibration detected. reset controller. Operator: Tom.
M4,2025-02-13,Machine M4: noise detected. tightened bolts. Operator: John.
M1,2025-03-17,Machine M1: error code 42 detected. tightened bolts. Operator: Tom.
M1,2025-01-26,Machine M1: unusual vibration detected. tightened bolts. Operator: Tom.
M4,2025-02-15,Machine M4: oil leak detected. tightened bolts. Operator: John.
M3,2025-01-26,Machine M3: oil leak detected. tightened bolts. Operator: Mary.
M2,2025-03-20,Machine M2: overheating detected. cleaned sensor. Operator: Mary.
M2,2025-02-08,Machine M2: overheating detected. tightened bolts. Operator: Tom.
M2,2025-02-14,Machine M2: error code 42 detected. reset controller. Operator: Tom.
M4,2025-01-31,Machine M4: oil leak detected. tightened bolts. Operator: John.
M4,2025-03-02,Machine M4: oil leak detected. cleaned sensor. Operator: Tom.
M1,2025-02-12,Machine M1: overheating detected. reset controller. Operator: Mary.
M2,2025-02-16,Machine M2: overheating detected. replaced filter. Operator: John.
M2,2025-03-16,Machine M2: oil leak detected. tightened bolts. Operator: Mary.
M2,2025-01-16,Machine M2: oil leak detected. tightened bolts. Operator: Tom.
M1,2025-01-15,Machine M1: unusual vibration detected. tightened bolts. Operator: John.
M4,2025-01-16,Machine M4: noise detected. replaced filter. Operator: Mary.
M1,2025-03-29,Machine M1: noise detected. reset controller. Operator: John.
M2,2025-01-11,Machine M2: noise detected. replaced filter. Operator: John.
M1,2025-01-29,Machine M1: overheating detected. reset controller. Operator: John.
M4,2025-02-02,Machine M4: error code 42 detected. reset controller. Operator: John.
M3,2025-03-01,Machine M3: error code 42 detected. reset controller. Operator: John.
M1,2025-01-19,Machine M1: oil leak detected. tightened bolts. Operator: Tom.
M2,2025-02-27,Machine M2: noise detected. tightened bolts. Operator: John.
M1,2025-03-10,Machine M1: oil leak detected. reset controller. Operator: Mary.
M3,2025-01-03,Machine M3: unusual vibration detected. cleaned sensor. Operator: Mary.
